"","Site.Number","O4","O5","O6","O7","O8","O9"
"54",68,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"55",69,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"56",69,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"57",69,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"58",70,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"59",70,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"60",70,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"61",71,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"62",71,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"63",71,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"64",80,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"65",80,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"66",80,-16.2675838470459,-14.5362510681152,-13.7160177230835,-12.2563524246216,-13.0282955169678,-13.0877027511597
"67",110,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"68",110,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"69",110,-16.3513259887695,-14.6204748153687,-13.8258275985718,-12.3426704406738,-13.128228187561,-13.1477003097534
"70",125,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"71",125,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
"72",125,-16.5870838165283,-14.8524761199951,-14.0539121627808,-12.5114135742188,-13.2743053436279,-13.332447052002
